Entry_Datetime,Future_Traded_Price,ATM,Days_to_Expiry,CE_Symbol,CE_Entry_Price,CE_Exit_Price,CE_Exit_Datetime,PE_Symbol,PE_Entry_Price,PE_Exit_Price,PE_Exit_Datetime,PnL
2019-01-01 09:20:00,27265.0,27300,2,BANKNIFTY03JAN1927300CE.NFO,100.0,120.0,2019-01-01 14:31:00,BANKNIFTY03JAN1927300PE.NFO,225.6,270.72,2019-01-01 09:54:00,-65.12000000000003
2019-01-02 09:20:00,27437.9,27400,1,BANKNIFTY03JAN1927400CE.NFO,99.05,118.86,2019-01-02 10:21:00,BANKNIFTY03JAN1927400PE.NFO,157.55,189.06,2019-01-02 09:35:00,-51.31999999999999
2019-01-03 09:20:00,27218.9,27200,0,BANKNIFTY03JAN1927200CE.NFO,48.1,57.72,2019-01-03 09:38:00,BANKNIFTY03JAN1927200PE.NFO,135.3,162.36,2019-01-03 11:36:00,-36.68
2019-01-04 09:20:00,27188.45,27200,6,BANKNIFTY10JAN1927200CE.NFO,179.6,215.51999999999998,2019-01-04 11:41:00,BANKNIFTY10JAN1927200PE.NFO,283.05,339.66,2019-01-04 09:45:00,-92.53
2019-01-07 09:20:00,27530.0,27500,3,BANKNIFTY10JAN1927500CE.NFO,137.75,82.35,2019-01-07 15:10:00,BANKNIFTY10JAN1927500PE.NFO,204.0,244.8,2019-01-07 14:45:00,14.599999999999994
2019-01-08 09:20:00,27306.3,27300,2,BANKNIFTY10JAN1927300CE.NFO,110.3,132.36,2019-01-08 09:49:00,BANKNIFTY10JAN1927300PE.NFO,199.5,70.25,2019-01-08 15:10:00,107.18999999999998
2019-01-09 09:20:00,27712.05,27700,1,BANKNIFTY10JAN1927700CE.NFO,81.85,82.65,2019-01-09 15:10:00,BANKNIFTY10JAN1927700PE.NFO,167.6,201.12,2019-01-09 10:05:00,-34.32000000000002
2019-01-10 09:20:00,27702.0,27700,0,BANKNIFTY10JAN1927700CE.NFO,44.15,0.05,2019-01-10 15:10:00,BANKNIFTY10JAN1927700PE.NFO,120.15,144.18,2019-01-10 09:37:00,20.07
2019-01-11 09:20:00,27681.1,27700,6,BANKNIFTY17JAN1927700CE.NFO,172.1,119.75,2019-01-11 15:10:00,BANKNIFTY17JAN1927700PE.NFO,259.0,310.8,2019-01-11 10:44:00,0.549999999999983
2019-01-14 09:20:00,27378.95,27400,3,BANKNIFTY17JAN1927400CE.NFO,141.3,118.5,2019-01-14 15:10:00,BANKNIFTY17JAN1927400PE.NFO,221.9,216.0,2019-01-14 15:10:00,28.700000000000017
2019-01-15 09:20:00,27436.95,27400,2,BANKNIFTY17JAN1927400CE.NFO,138.1,165.72,2019-01-15 11:30:00,BANKNIFTY17JAN1927400PE.NFO,160.35,112.6,2019-01-15 15:10:00,20.129999999999995
2019-01-16 09:20:00,27543.05,27500,1,BANKNIFTY17JAN1927500CE.NFO,99.3,119.16,2019-01-16 09:30:00,BANKNIFTY17JAN1927500PE.NFO,127.25,83.45,2019-01-16 15:10:00,23.939999999999998
2019-01-17 09:20:00,27584.0,27600,0,BANKNIFTY17JAN1927600CE.NFO,26.0,0.1,2019-01-17 15:10:00,BANKNIFTY17JAN1927600PE.NFO,98.5,118.2,2019-01-17 10:30:00,6.199999999999996
2019-01-18 09:20:00,27591.0,27600,6,BANKNIFTY24JAN1927600CE.NFO,166.05,151.3,2019-01-18 15:10:00,BANKNIFTY24JAN1927600PE.NFO,207.45,248.94,2019-01-18 09:28:00,-26.74000000000001
2019-01-21 09:20:00,27476.2,27500,3,BANKNIFTY24JAN1927500CE.NFO,151.3,181.56,2019-01-21 09:40:00,BANKNIFTY24JAN1927500PE.NFO,202.45,143.3,2019-01-21 15:10:00,28.889999999999986
2019-01-22 09:20:00,27493.85,27500,2,BANKNIFTY24JAN1927500CE.NFO,141.45,142.85,2019-01-22 15:10:00,BANKNIFTY24JAN1927500PE.NFO,176.25,141.55,2019-01-22 15:10:00,33.29999999999998
2019-01-23 09:20:00,27569.1,27500,1,BANKNIFTY24JAN1927500CE.NFO,148.0,31.2,2019-01-23 15:10:00,BANKNIFTY24JAN1927500PE.NFO,107.1,128.51999999999998,2019-01-23 14:29:00,95.38000000000001
2019-01-24 09:20:00,27278.35,27300,0,BANKNIFTY24JAN1927300CE.NFO,36.8,44.16,2019-01-24 10:46:00,BANKNIFTY24JAN1927300PE.NFO,91.45,109.74000000000001,2019-01-24 09:24:00,-25.650000000000006
2019-01-25 09:20:00,27463.0,27400,6,BANKNIFTY31JAN1927400CE.NFO,224.35,109.75,2019-01-25 15:10:00,BANKNIFTY31JAN1927400PE.NFO,165.2,198.23999999999998,2019-01-25 13:36:00,81.56
2019-01-28 09:20:00,27114.05,27100,3,BANKNIFTY31JAN1927100CE.NFO,204.0,59.95,2019-01-28 15:10:00,BANKNIFTY31JAN1927100PE.NFO,182.0,218.4,2019-01-28 09:34:00,107.65
2019-01-29 09:20:00,26658.0,26700,2,BANKNIFTY31JAN1926700CE.NFO,174.1,208.92,2019-01-29 09:27:00,BANKNIFTY31JAN1926700PE.NFO,220.0,264.0,2019-01-29 13:19:00,-78.82
2019-01-30 09:20:00,26775.05,26800,1,BANKNIFTY31JAN1926800CE.NFO,129.4,155.28,2019-01-30 14:19:00,BANKNIFTY31JAN1926800PE.NFO,152.1,182.51999999999998,2019-01-30 10:39:00,-56.29999999999998
2019-01-31 09:20:00,26917.0,26900,0,BANKNIFTY31JAN1926900CE.NFO,79.6,95.52,2019-01-31 11:00:00,BANKNIFTY31JAN1926900PE.NFO,63.85,0.35,2019-01-31 15:10:00,47.58
2019-02-01 09:20:00,27342.5,27400,6,BANKNIFTY07FEB1927400CE.NFO,196.0,235.2,2019-02-01 12:31:00,BANKNIFTY07FEB1927400PE.NFO,343.0,411.6,2019-02-01 14:05:00,-107.80000000000001
2019-02-04 09:20:00,26946.35,27000,3,BANKNIFTY07FEB1927000CE.NFO,140.65,168.78,2019-02-04 11:59:00,BANKNIFTY07FEB1927000PE.NFO,249.7,95.15,2019-02-04 15:10:00,126.41999999999999
2019-02-05 09:20:00,27281.8,27300,2,BANKNIFTY07FEB1927300CE.NFO,123.05,147.66,2019-02-05 10:03:00,BANKNIFTY07FEB1927300PE.NFO,206.85,152.45,2019-02-05 15:10:00,29.790000000000006
2019-02-06 09:20:00,27405.0,27400,1,BANKNIFTY07FEB1927400CE.NFO,108.95,130.74,2019-02-06 09:25:00,BANKNIFTY07FEB1927400PE.NFO,169.0,130.0,2019-02-06 15:10:00,17.209999999999994
2019-02-07 09:20:00,27489.1,27500,0,BANKNIFTY07FEB1927500CE.NFO,76.0,91.2,2019-02-07 11:26:00,BANKNIFTY07FEB1927500PE.NFO,149.85,42.5,2019-02-07 15:10:00,92.14999999999999
2019-02-08 09:20:00,27345.15,27300,6,BANKNIFTY14FEB1927300CE.NFO,197.25,236.7,2019-02-08 13:43:00,BANKNIFTY14FEB1927300PE.NFO,204.75,171.2,2019-02-08 15:10:00,-5.899999999999977
2019-02-11 09:20:00,27243.95,27300,3,BANKNIFTY14FEB1927300CE.NFO,120.6,144.72,2019-02-11 14:20:00,BANKNIFTY14FEB1927300PE.NFO,219.8,178.05,2019-02-11 15:10:00,17.629999999999995
2019-02-12 09:20:00,27365.0,27400,2,BANKNIFTY14FEB1927400CE.NFO,98.65,26.35,2019-02-12 15:10:00,BANKNIFTY14FEB1927400PE.NFO,176.0,211.2,2019-02-12 12:53:00,37.10000000000002
2019-02-13 09:20:00,27159.0,27200,1,BANKNIFTY14FEB1927200CE.NFO,71.6,20.3,2019-02-13 15:10:00,BANKNIFTY14FEB1927200PE.NFO,160.85,193.01999999999998,2019-02-13 09:43:00,19.13000000000001
2019-02-14 09:20:00,26923.4,26900,0,BANKNIFTY14FEB1926900CE.NFO,46.3,55.559999999999995,2019-02-14 09:30:00,BANKNIFTY14FEB1926900PE.NFO,92.6,0.55,2019-02-14 15:10:00,82.78999999999999
2019-02-15 09:20:00,26930.55,27000,6,BANKNIFTY21FEB1927000CE.NFO,161.1,119.95,2019-02-15 15:10:00,BANKNIFTY21FEB1927000PE.NFO,272.3,326.76,2019-02-15 11:00:00,-13.309999999999988
2019-02-18 09:20:00,26879.55,26900,3,BANKNIFTY21FEB1926900CE.NFO,158.15,102.75,2019-02-18 15:10:00,BANKNIFTY21FEB1926900PE.NFO,224.5,269.4,2019-02-18 10:55:00,10.500000000000028
2019-02-19 09:20:00,26800.0,26800,2,BANKNIFTY21FEB1926800CE.NFO,151.1,181.32,2019-02-19 09:51:00,BANKNIFTY21FEB1926800PE.NFO,198.95,185.4,2019-02-19 15:10:00,-16.670000000000016
2019-02-20 09:20:00,26884.95,26900,1,BANKNIFTY21FEB1926900CE.NFO,87.45,104.94,2019-02-20 09:30:00,BANKNIFTY21FEB1926900PE.NFO,149.55,56.65,2019-02-20 15:10:00,75.41000000000001
2019-02-21 09:20:00,27086.0,27100,0,BANKNIFTY21FEB1927100CE.NFO,36.7,44.040000000000006,2019-02-21 09:23:00,BANKNIFTY21FEB1927100PE.NFO,102.6,56.0,2019-02-21 15:10:00,39.25999999999999
2019-02-22 09:20:00,27035.0,27000,6,BANKNIFTY28FEB1927000CE.NFO,209.5,147.55,2019-02-22 15:10:00,BANKNIFTY28FEB1927000PE.NFO,173.75,208.5,2019-02-22 11:57:00,27.19999999999999
2019-02-26 09:20:00,26867.7,26900,2,BANKNIFTY28FEB1926900CE.NFO,139.65,167.58,2019-02-26 09:25:00,BANKNIFTY28FEB1926900PE.NFO,175.4,210.48000000000002,2019-02-26 09:42:00,-63.01000000000002
2019-02-27 09:20:00,27163.4,27100,1,BANKNIFTY28FEB1927100CE.NFO,140.65,31.85,2019-02-27 15:10:00,BANKNIFTY28FEB1927100PE.NFO,86.0,103.2,2019-02-27 11:18:00,91.60000000000001
2019-02-28 09:20:00,26891.25,26900,0,BANKNIFTY28FEB1926900CE.NFO,75.4,0.3,2019-02-28 15:10:00,BANKNIFTY28FEB1926900PE.NFO,85.55,102.66,2019-02-28 09:40:00,57.99000000000001
2019-03-01 09:20:00,27122.0,27100,6,BANKNIFTY07MAR1927100CE.NFO,157.35,172.0,2019-03-01 15:10:00,BANKNIFTY07MAR1927100PE.NFO,228.15,174.05,2019-03-01 15:10:00,39.44999999999999
2019-03-05 09:20:00,27156.1,27200,2,BANKNIFTY07MAR1927200CE.NFO,81.85,98.22,2019-03-05 10:35:00,BANKNIFTY07MAR1927200PE.NFO,233.0,38.0,2019-03-05 15:10:00,178.63
2019-03-06 09:20:00,27661.85,27700,1,BANKNIFTY07MAR1927700CE.NFO,51.7,62.040000000000006,2019-03-06 09:25:00,BANKNIFTY07MAR1927700PE.NFO,196.8,236.16000000000003,2019-03-06 13:02:00,-49.70000000000002
2019-03-07 09:20:00,27642.0,27700,0,BANKNIFTY07MAR1927700CE.NFO,15.45,18.54,2019-03-07 10:13:00,BANKNIFTY07MAR1927700PE.NFO,149.6,0.35,2019-03-07 15:10:00,146.16
2019-03-08 09:20:00,27775.35,27800,6,BANKNIFTY14MAR1927800CE.NFO,133.35,160.01999999999998,2019-03-08 11:24:00,BANKNIFTY14MAR1927800PE.NFO,235.15,169.0,2019-03-08 15:10:00,39.48000000000002
2019-03-11 09:20:00,28010.0,28000,3,BANKNIFTY14MAR1928000CE.NFO,122.7,147.24,2019-03-11 09:38:00,BANKNIFTY14MAR1928000PE.NFO,184.65,137.85,2019-03-11 15:10:00,22.260000000000005
2019-03-12 09:20:00,28250.05,28200,2,BANKNIFTY14MAR1928200CE.NFO,111.95,134.34,2019-03-12 10:12:00,BANKNIFTY14MAR1928200PE.NFO,137.3,48.3,2019-03-12 15:10:00,66.61000000000001
2019-03-13 09:20:00,28465.95,28500,1,BANKNIFTY14MAR1928500CE.NFO,73.9,88.68,2019-03-13 09:26:00,BANKNIFTY14MAR1928500PE.NFO,179.1,18.75,2019-03-13 15:10:00,145.57
2019-03-14 09:20:00,29076.25,29100,0,BANKNIFTY14MAR1929100CE.NFO,61.45,0.15,2019-03-14 15:10:00,BANKNIFTY14MAR1929100PE.NFO,131.45,157.73999999999998,2019-03-14 10:13:00,35.01000000000001
2019-03-15 09:20:00,29227.85,29200,6,BANKNIFTY20MAR1929200CE.NFO,231.65,277.98,2019-03-15 09:36:00,BANKNIFTY20MAR1929200PE.NFO,228.85,139.05,2019-03-15 15:10:00,43.46999999999997
2019-03-18 09:20:00,29813.2,29800,3,BANKNIFTY20MAR1929800CE.NFO,240.0,114.5,2019-03-18 15:10:00,BANKNIFTY20MAR1929800PE.NFO,246.15,295.38,2019-03-18 10:13:00,76.27000000000001
2019-03-19 09:20:00,29613.65,29600,2,BANKNIFTY20MAR1929600CE.NFO,188.75,226.5,2019-03-19 09:29:00,BANKNIFTY20MAR1929600PE.NFO,202.95,45.0,2019-03-19 15:10:00,120.19999999999999
2019-03-20 09:20:00,29725.0,29700,1,BANKNIFTY20MAR1929700CE.NFO,72.0,86.4,2019-03-20 09:48:00,BANKNIFTY20MAR1929700PE.NFO,88.6,0.2,2019-03-20 15:10:00,73.99999999999999
2019-03-22 09:20:00,30024.95,30000,6,BANKNIFTY28MAR1930000CE.NFO,265.2,89.9,2019-03-22 15:10:00,BANKNIFTY28MAR1930000PE.NFO,228.2,273.84,2019-03-22 10:31:00,129.66
2019-03-25 09:20:00,29297.0,29300,3,BANKNIFTY28MAR1929300CE.NFO,204.7,176.4,2019-03-25 15:10:00,BANKNIFTY28MAR1929300PE.NFO,207.9,183.65,2019-03-25 15:10:00,52.54999999999998
2019-03-26 09:20:00,29379.85,29400,2,BANKNIFTY28MAR1929400CE.NFO,143.9,172.68,2019-03-26 09:32:00,BANKNIFTY28MAR1929400PE.NFO,164.3,29.6,2019-03-26 15:10:00,105.92000000000002
2019-03-27 09:20:00,30175.0,30200,1,BANKNIFTY28MAR1930200CE.NFO,156.45,187.73999999999998,2019-03-27 12:24:00,BANKNIFTY28MAR1930200PE.NFO,169.55,203.46,2019-03-27 09:36:00,-65.19999999999999
2019-03-28 09:20:00,30022.2,30000,0,BANKNIFTY28MAR1930000CE.NFO,97.45,116.94,2019-03-28 09:46:00,BANKNIFTY28MAR1930000PE.NFO,82.1,0.25,2019-03-28 15:10:00,62.36
2019-03-29 09:20:00,30591.0,30600,6,BANKNIFTY04APR1930600CE.NFO,291.75,245.45,2019-03-29 15:10:00,BANKNIFTY04APR1930600PE.NFO,386.8,464.16,2019-03-29 09:39:00,-31.060000000000002
2019-04-01 09:20:00,30738.05,30700,3,BANKNIFTY04APR1930700CE.NFO,270.05,158.0,2019-04-01 15:10:00,BANKNIFTY04APR1930700PE.NFO,309.5,371.4,2019-04-01 15:07:00,50.150000000000034
2019-04-02 09:20:00,30356.95,30400,2,BANKNIFTY04APR1930400CE.NFO,189.9,227.88,2019-04-02 11:24:00,BANKNIFTY04APR1930400PE.NFO,320.2,215.95,2019-04-02 15:10:00,66.27000000000001
2019-04-03 09:20:00,30718.8,30700,1,BANKNIFTY04APR1930700CE.NFO,147.9,26.2,2019-04-03 15:10:00,BANKNIFTY04APR1930700PE.NFO,224.65,269.58000000000004,2019-04-03 11:34:00,76.76999999999997
2019-04-04 09:20:00,30269.15,30300,0,BANKNIFTY04APR1930300CE.NFO,51.75,62.1,2019-04-04 09:32:00,BANKNIFTY04APR1930300PE.NFO,211.25,253.5,2019-04-04 11:53:00,-52.6
2019-04-05 09:20:00,30255.55,30200,6,BANKNIFTY11APR1930200CE.NFO,216.85,176.05,2019-04-05 15:10:00,BANKNIFTY11APR1930200PE.NFO,265.45,318.53999999999996,2019-04-05 11:13:00,-12.289999999999992
2019-04-08 09:20:00,30329.4,30300,3,BANKNIFTY11APR1930300CE.NFO,159.65,64.6,2019-04-08 15:10:00,BANKNIFTY11APR1930300PE.NFO,271.65,325.97999999999996,2019-04-08 13:02:00,40.72000000000003
2019-04-09 09:20:00,29965.0,30000,2,BANKNIFTY11APR1930000CE.NFO,116.05,139.26,2019-04-09 09:49:00,BANKNIFTY11APR1930000PE.NFO,291.05,113.4,2019-04-09 15:10:00,154.44
2019-04-10 09:20:00,30253.65,30300,1,BANKNIFTY11APR1930300CE.NFO,95.8,15.9,2019-04-10 15:10:00,BANKNIFTY11APR1930300PE.NFO,273.15,327.78,2019-04-10 13:29:00,25.269999999999996
2019-04-11 09:20:00,29930.0,29900,0,BANKNIFTY11APR1929900CE.NFO,44.4,0.2,2019-04-11 15:10:00,BANKNIFTY11APR1929900PE.NFO,154.7,185.64,2019-04-11 10:00:00,13.259999999999998
2019-04-12 09:20:00,29946.4,30000,6,BANKNIFTY18APR1930000CE.NFO,181.8,218.16000000000003,2019-04-12 14:17:00,BANKNIFTY18APR1930000PE.NFO,304.8,199.0,2019-04-12 15:10:00,69.44
2019-04-15 09:20:00,30108.65,30100,3,BANKNIFTY18APR1930100CE.NFO,157.5,189.0,2019-04-15 10:16:00,BANKNIFTY18APR1930100PE.NFO,220.2,144.55,2019-04-15 15:10:00,44.14999999999998
2019-04-16 09:20:00,30356.75,30300,2,BANKNIFTY18APR1930300CE.NFO,128.25,153.9,2019-04-16 09:51:00,BANKNIFTY18APR1930300PE.NFO,140.4,37.95,2019-04-16 15:10:00,76.8
2019-04-18 09:20:00,30647.0,30600,0,BANKNIFTY18APR1930600CE.NFO,81.0,0.1,2019-04-18 15:10:00,BANKNIFTY18APR1930600PE.NFO,69.5,83.4,2019-04-18 09:33:00,67.0
2019-04-22 09:20:00,29970.0,30000,3,BANKNIFTY25APR1930000CE.NFO,209.0,105.55,2019-04-22 15:10:00,BANKNIFTY25APR1930000PE.NFO,240.7,288.84,2019-04-22 14:29:00,55.31000000000002
2019-04-23 09:20:00,29887.6,29900,2,BANKNIFTY25APR1929900CE.NFO,182.45,46.25,2019-04-23 15:10:00,BANKNIFTY25APR1929900PE.NFO,190.25,228.3,2019-04-23 09:52:00,98.14999999999998
2019-04-24 09:20:00,29627.75,29600,1,BANKNIFTY25APR1929600CE.NFO,156.5,187.8,2019-04-24 14:31:00,BANKNIFTY25APR1929600PE.NFO,134.05,160.86,2019-04-24 09:26:00,-58.110000000000014
2019-04-25 09:20:00,29930.05,29900,0,BANKNIFTY25APR1929900CE.NFO,96.8,116.16,2019-04-25 09:30:00,BANKNIFTY25APR1929900PE.NFO,69.65,83.58000000000001,2019-04-25 12:39:00,-33.290000000000006
2019-04-26 09:20:00,29828.3,29800,6,BANKNIFTY02MAY1929800CE.NFO,160.0,192.0,2019-04-26 13:57:00,BANKNIFTY02MAY1929800PE.NFO,251.9,302.28000000000003,2019-04-26 10:36:00,-82.38000000000002
2019-04-30 09:20:00,29989.0,30000,2,BANKNIFTY02MAY1930000CE.NFO,100.75,51.9,2019-04-30 15:10:00,BANKNIFTY02MAY1930000PE.NFO,239.85,287.82,2019-04-30 09:41:00,0.8800000000000026
2019-05-02 09:20:00,29796.05,29800,0,BANKNIFTY02MAY1929800CE.NFO,58.45,70.14,2019-05-02 09:40:00,BANKNIFTY02MAY1929800PE.NFO,145.75,85.75,2019-05-02 15:10:00,48.31
2019-05-03 09:20:00,29931.2,29900,6,BANKNIFTY09MAY1929900CE.NFO,217.0,260.4,2019-05-03 10:15:00,BANKNIFTY09MAY1929900PE.NFO,262.0,187.45,2019-05-03 15:10:00,31.150000000000034
2019-05-06 09:20:00,29725.0,29700,3,BANKNIFTY09MAY1929700CE.NFO,190.6,228.72,2019-05-06 09:55:00,BANKNIFTY09MAY1929700PE.NFO,243.0,192.75,2019-05-06 15:10:00,12.129999999999995
2019-05-07 09:20:00,29898.9,29900,2,BANKNIFTY09MAY1929900CE.NFO,145.6,32.15,2019-05-07 15:10:00,BANKNIFTY09MAY1929900PE.NFO,243.0,291.6,2019-05-07 11:11:00,64.84999999999997
2019-05-08 09:20:00,29312.05,29300,1,BANKNIFTY09MAY1929300CE.NFO,136.9,34.8,2019-05-08 15:10:00,BANKNIFTY09MAY1929300PE.NFO,207.9,249.48000000000002,2019-05-08 11:41:00,60.519999999999996
2019-05-09 09:20:00,29035.65,29000,0,BANKNIFTY09MAY1929000CE.NFO,63.7,76.44,2019-05-09 10:45:00,BANKNIFTY09MAY1929000PE.NFO,129.8,155.76000000000002,2019-05-09 13:49:00,-38.7
2019-05-10 09:20:00,29131.05,29100,6,BANKNIFTY16MAY1929100CE.NFO,268.85,240.35,2019-05-10 15:10:00,BANKNIFTY16MAY1929100PE.NFO,298.8,358.56,2019-05-10 09:50:00,-31.259999999999962
2019-05-13 09:20:00,29010.0,29000,3,BANKNIFTY16MAY1929000CE.NFO,249.8,110.4,2019-05-13 15:10:00,BANKNIFTY16MAY1929000PE.NFO,282.05,338.46000000000004,2019-05-13 15:03:00,82.98999999999998
2019-05-14 09:20:00,28732.05,28700,2,BANKNIFTY16MAY1928700CE.NFO,220.0,264.0,2019-05-14 13:16:00,BANKNIFTY16MAY1928700PE.NFO,242.3,112.1,2019-05-14 15:10:00,86.20000000000002
2019-05-15 09:20:00,29007.5,29000,1,BANKNIFTY16MAY1929000CE.NFO,140.9,18.1,2019-05-15 15:10:00,BANKNIFTY16MAY1929000PE.NFO,187.3,224.76000000000002,2019-05-15 12:45:00,85.34
2019-05-16 09:20:00,28651.05,28600,0,BANKNIFTY16MAY1928600CE.NFO,93.35,112.02,2019-05-16 14:05:00,BANKNIFTY16MAY1928600PE.NFO,97.5,117.0,2019-05-16 10:34:00,-38.17
2019-05-17 09:20:00,29081.55,29000,6,BANKNIFTY23MAY1929000CE.NFO,721.25,865.5,2019-05-17 13:50:00,BANKNIFTY23MAY1929000PE.NFO,684.25,590.65,2019-05-17 15:10:00,-50.64999999999998
2019-05-20 09:20:00,30249.65,30200,3,BANKNIFTY23MAY1930200CE.NFO,641.0,769.2,2019-05-20 12:15:00,BANKNIFTY23MAY1930200PE.NFO,603.95,368.15,2019-05-20 15:10:00,107.60000000000002
2019-05-21 09:20:00,30920.0,30900,2,BANKNIFTY23MAY1930900CE.NFO,593.0,390.05,2019-05-21 15:10:00,BANKNIFTY23MAY1930900PE.NFO,574.65,689.5799999999999,2019-05-21 09:32:00,88.02000000000004
2019-05-22 09:20:00,30500.0,30400,1,BANKNIFTY23MAY1930400CE.NFO,660.25,792.3,2019-05-22 10:40:00,BANKNIFTY23MAY1930400PE.NFO,570.35,684.4200000000001,2019-05-22 12:37:00,-246.12
2019-05-23 09:20:00,31252.45,31200,0,BANKNIFTY23MAY1931200CE.NFO,427.4,512.88,2019-05-23 10:41:00,BANKNIFTY23MAY1931200PE.NFO,384.9,461.88,2019-05-23 14:01:00,-162.46000000000004
2019-05-24 09:20:00,30747.8,30800,6,BANKNIFTY30MAY1930800CE.NFO,268.15,321.78,2019-05-24 12:49:00,BANKNIFTY30MAY1930800PE.NFO,321.4,385.67999999999995,2019-05-24 09:32:00,-117.90999999999997
2019-05-27 09:20:00,31288.75,31300,3,BANKNIFTY30MAY1931300CE.NFO,257.1,308.52000000000004,2019-05-27 09:25:00,BANKNIFTY30MAY1931300PE.NFO,265.55,122.45,2019-05-27 15:10:00,91.68
2019-05-28 09:20:00,31641.85,31700,2,BANKNIFTY30MAY1931700CE.NFO,199.65,142.65,2019-05-28 15:10:00,BANKNIFTY30MAY1931700PE.NFO,244.35,293.22,2019-05-28 09:35:00,8.129999999999967
2019-05-29 09:20:00,31505.95,31500,1,BANKNIFTY30MAY1931500CE.NFO,160.25,51.1,2019-05-29 15:10:00,BANKNIFTY30MAY1931500PE.NFO,150.45,180.54,2019-05-29 09:49:00,79.06
2019-05-30 09:20:00,31305.0,31300,0,BANKNIFTY30MAY1931300CE.NFO,95.45,114.54,2019-05-30 09:41:00,BANKNIFTY30MAY1931300PE.NFO,87.2,0.65,2019-05-30 15:10:00,67.46
2019-05-31 09:20:00,31751.0,31700,6,BANKNIFTY06JUN1931700CE.NFO,280.7,101.2,2019-05-31 15:10:00,BANKNIFTY06JUN1931700PE.NFO,291.45,349.74,2019-05-31 11:51:00,121.20999999999998
2019-06-03 09:20:00,31327.55,31300,3,BANKNIFTY06JUN1931300CE.NFO,243.75,292.5,2019-06-03 09:27:00,BANKNIFTY06JUN1931300PE.NFO,249.4,86.05,2019-06-03 15:10:00,114.60000000000002
2019-06-04 09:20:00,31692.3,31700,2,BANKNIFTY06JUN1931700CE.NFO,175.0,106.85,2019-06-04 15:10:00,BANKNIFTY06JUN1931700PE.NFO,220.7,199.0,2019-06-04 15:10:00,89.85
2019-06-06 09:20:00,31541.7,31500,0,BANKNIFTY06JUN1931500CE.NFO,124.4,0.15,2019-06-06 15:10:00,BANKNIFTY06JUN1931500PE.NFO,113.35,136.01999999999998,2019-06-06 09:33:00,101.58000000000001
2019-06-07 09:20:00,30893.4,30900,6,BANKNIFTY13JUN1930900CE.NFO,232.55,279.06,2019-06-07 10:05:00,BANKNIFTY13JUN1930900PE.NFO,273.15,327.78,2019-06-07 09:25:00,-101.13999999999999
2019-06-10 09:20:00,31384.0,31400,3,BANKNIFTY13JUN1931400CE.NFO,182.25,68.15,2019-06-10 15:10:00,BANKNIFTY13JUN1931400PE.NFO,226.85,272.22,2019-06-10 09:36:00,68.72999999999996
2019-06-11 09:20:00,31034.5,31100,2,BANKNIFTY13JUN1931100CE.NFO,171.95,206.33999999999997,2019-06-11 10:01:00,BANKNIFTY13JUN1931100PE.NFO,254.5,109.8,2019-06-11 15:10:00,110.31
